"","AHR","ARID1A","ARRDC3","ATL1","BAK1","BCL2L11","BCORL1","BPGM","CBFA2T3","CBL","CDKN1A","CDKN1B","CDKN1C","CEBPA","CEBPB","CEBPE","CELF2","CITED1","CKS1B","CLDN6","CNN1","CNNM4","COL1A1","COL2A1","CSRNP1","DLX2","DUSP9","EGR1","ETS2","FEV","FOSB","FOXA1","FOXA3","FOXF1","FOXL2","FOXO4","GLB1L2","HES7","HK2","HNF4A","HOXA13","HOXB9","HOXC13","IGDCC3","IKZF3","IRF1","ISL2","JUN","KIF2C","KIF18B","KLF1","KMT2A","LHX1","LYL1","MAML2","MAP2K3","MAP2K6","MAP4K3","MAP4K5","MAP7D1","MAPK1","MEIS1","MIDN","NCL","NIT1","OSR2","PLK4","POU3F2","PRDM1","PRTG","PTPN1","PTPN9","PTPN12","PTPN13","RHOXF2","RREB1","RUNX1T1","S1PR2","SAMD1","SET","SGK1","SLC4A1","SLC6A9","SLC38A2","SNAI1","SPI1","STIL","TBX2","TBX3","TGFBR2","TMSB4X","TP73","TSC22D1","UBASH3A","UBASH3B","ZBTB1","ZBTB10","ZBTB25","ZC3HAV1","ZNF318"
"CKS1B",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLDN6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNNM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL1A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"COL2A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSRNP1",0.0144288577154309,0.00632911392405063,0,0,0,0,0,0,0,0,0.5,0,0,0.0154230929553981,0.5,0.0234113712374582,0,0,0,0,0,0,0,0,0,0.00843373493975904,0,0.5,0.5,0.0142437259778431,0.5,0.0152752172767975,0.00447427293064877,0.5,0.0224719101123595,0.0171003717472119,0,0.0136054421768707,0,0.5,0.5,0.0148148148148148,0.5,0,0.0115924344112264,0.0155385830919147,0.5,0.0144284128745838,0,0,0.00975609756097561,0,0.5,0,0,0,0,0,0,0,0,0.0142898804316127,0.5,0,0,0.010896898575021,0,0.5,0.015593762495002,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.0109938434476693,0.0120300751879699,0,0,0.0097323600973236,0.074585635359116,0,0,0,0,0,0,0.0278688524590164
"DLX2",0.0867745535714286,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.10047488127968,0.0663788451160281,0,0,0,0,0,0,0,0,0.00843373493975904,0,0,0.0839292942922683,0.5,0.0928451335699608,0.0549288867091712,0.11160809371672,0.0438394093216428,0.5,0.00324464633354964,0.10867802108678,0,0.0193330111164814,0,0.114045416316232,0.112493382742192,0.0692217442315213,0.0962813490919573,0,0.0547993019197208,0.109458023379384,0.0632953784326859,0.0517082179132041,0,0,0.00319284802043423,0.5,0.0547829751369574,0.5,0,0,0,0,0,0,0.5,0.110295803714744,0,0,0.5,0.0481239804241436,0,0.123032311516156,0.5,0,0,0,0,0,0.0524421593830334,0.5,0,0,0,0,0,0,0,0,0.00130378096479791,0.5,0,0.0638977635782748,0.0154536390827517,0,0,0.0553150553150553,0.0132947976878613,0,0.5,0.0142369020501139,0,0.0209564750134336,0.5,0.024704065877509
"DUSP9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EGR1",0.5,0.5,0,0.5,0,0.5,0.5,0,0.000307031010132023,0.5,0.5,0.5,0.5,0.5,0.5,0.0370425468610533,0,0,0,0,0,0,0.5,0.5,0.5,0.0839292942922683,0,0,0.5,0.255644320944772,0.5,0.207185911830753,0.028632175761871,0.121458046767538,0.00153115908742918,0.5,0,0.0433250110148333,0,0.5,0.152631578947368,0.0899732054717247,0.5,0,0.5,0.5,0.0953210886177772,0.5,0,0,0.00412907172350512,0.5,0.0605374823196605,0.5,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.0330057209916386,0.5,0.5,0.5,0,0.5,0.5,0,0,0,0.5,0.341441708691783,0.5,0.133839706652698,0.5,0.5,0,0.5,0.0171842025927042,0,0,0.5,0.5,0.5,0.5,0.0272018820761653
"ETS2",0.5,0.5,0,0,0,0,0,0.5,0.000269323996768112,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.0288683602771363,0.12345160613059,0.5,0.5,0,0.0477350219191427,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.103845362944684,0.5,0.5,0.5,0.00373333333333333,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.0725061922990318,0,0.233597926453912,0.5,0,0.5,0.5,0.5,0,0.0404907975460123,0.5,0,0,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.0244611286025672,0,0.5,0.0571084337349398,0.5,0,0.5,0.0168884339815763,0,0.0194271481942715,0.000269251480883145,0.0302881063777395
"FEV",0.14669174217815,0.000461573967228248,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0.0347957639939486,0,0.5,0.5,0,0.5,0,0.5,0.5,0.0142437259778431,0.0928451335699608,0.5,0.255644320944772,0.5,0,0.0268984067866749,0.219960504329333,0.0209255533199195,0.117558966679146,0.00183908045977011,0.236374496043004,0,0.0443548387096774,0,0.277416734362307,0.14755439227875,0.0938856015779093,0.130769230769231,0,0.5,0.5,0.112411742846525,0.00871977804201348,0,0,0.00389372423270728,0.5,0.0668406262545163,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.0708316752884998,0,0.219671159828174,0.265864332603939,0,0.5,0,0.5,0,0.0420330259489599,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0.298243613138686,0.5,0.131597343586159,0.0249418727541746,0,0,0.0581272458254069,0.5,0,0.5,0.0184035476718404,0,0.0212397052449068,0,0.0251867662753469
"FOSB",0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0492390331244405,0.0562560620756547,0,0,0,0,0.5,0,0,0,0.5,0.0549288867091712,0,0.5,0.5,0.0268984067866749,0,0.0358680057388809,0.042456406368461,0.5,0.00457317073170732,0.5,0,0.0157938487115544,0,0.0285099515868747,0.047047679191664,0.0405633802816901,0.0377224199288256,0,0.0186068702290076,0.0408359356233486,0.025089605734767,0.5,0,0,0.00440528634361234,0,0.013801756587202,0.0027359781121751,0,0,0,0,0,0,0,0.0350693535723633,0,0.00153846153846154,0,0.0212378640776699,0,0.0394224157689663,0.0381094713244909,0,0,0,0,0,0.0131004366812227,0.5,0,0,0,0,0,0,0,0,0.0077639751552795,0.0308559162865576,0,0.0209635895549834,0.0105448154657293,0,0,0.0540322580645161,0.5,0,0,0.00789177001127396,0,0.011988011988012,0,0.0327408793264733
"FOXA1",0.180493491354187,0.000810591731964334,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0.5,0.5,0.0637154554759468,0.5,0,0.5,0,0.5,0,0,0,0.0152752172767975,0.11160809371672,0,0.207185911830753,0.5,0.219960504329333,0.0358680057388809,0,0.5,0.5,0.00242065626681011,0.270386978907158,0,0.0387409200968523,0,0.243502824858757,0.170946441672781,0.127810922441487,0.5,0,0.107256863162375,0.5,0.120736555764804,0.5,0,0.5,0.00294039026998129,0.000809061488673139,0.0706285714285714,0.5,0.5,0.5,0.5,0.5,0,0,0,0.200307639719706,0,0.5,0.5,0.0714930085701398,0,0.211440407903123,0.5,0,0.5,0,0.5,0,0.0467937608318891,0.5,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0,0.131242740998839,0.0225454545454545,0,0,0.0476532567049808,0.5,0,0.5,0.5,0,0.018976279650437,0.5,0.5
"FOXA3",0.0300528401585205,0.00134048257372654,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.0318634423897582,0.0380622837370242,0,0,0,0,0,0,0,0,0.00447427293064877,0.0438394093216428,0,0.028632175761871,0.0288683602771363,0.0209255533199195,0.042456406368461,0.5,0,0.0276100086281277,0,0.0316622691292876,0,0.0175572519083969,0,0.5,0.0435444579780755,0.5,0.03913491246138,0,0.0195188379482524,0.0351735383181924,0.0230277185501066,0.0503496503496504,0,0,0.00125944584382872,0,0.0164802825191289,0.00118623962040332,0,0,0,0,0,0,0,0.0291065553024551,0,0,0,0.0175836642087351,0,0.0287865367581931,0.0290486564996369,0,0,0,0,0,0.00953137410643368,0.0283320031923384,0,0,0,0,0,0,0,0.5,0.00263852242744063,0.0261979989468141,0,0.0179830747531735,0.01285140562249,0,0,0.0365497076023392,0.0113871635610766,0,0,0.0110663983903421,0,0.00988319856244385,0,0.0108153078202995
"FOXF1",0.111264876833656,0.000609013398294762,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.130660513412172,0.123168611869878,0.0704800817160368,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.121458046767538,0.12345160613059,0.117558966679146,0.5,0.5,0.0276100086281277,0,0.00543150271575136,0.5,0,0.0257708237459733,0,0.5,0.0963733198072534,0.0822904816078878,0.0982642777155655,0,0.0701634877384196,0.151606642225577,0.0863831190240686,0.5,0,0,0.002371072910492,0.000606428138265616,0.0843323687474163,0.00986651189785258,0,0,0,0,0,0,0,0.116059379217274,0,0.000603500301750151,0,0.0594722331626625,0,0.130558955528356,0.5,0,0,0,0,0,0.5,0.131706677161223,0,0,0,0,0,0,0,0,0.00363636363636364,0.132377850162866,0,0.085197934595525,0.5,0,0,0.5,0.0263013698630137,0,0,0.0111702127659574,0,0.0233029381965552,0,0.0272506082725061
"FOXL2",0.000416319733555371,0,0,0,0,0,0,0,0,0,0,0,0,0.00260642919200695,0.00344708721130645,0.00623700623700624,0,0,0,0,0,0,0,0,0.0224719101123595,0.00324464633354964,0,0.00153115908742918,0.5,0.00183908045977011,0.00457317073170732,0.00242065626681011,0,0.00543150271575136,0,0.00252143217347453,0,0,0,0.0021484375,0.00147765053564832,0.00323101777059774,0.5,0,0.00130890052356021,0.00268961807423346,0.00118976799524093,0.0102827763496144,0,0,0,0,0.00297619047619048,0,0,0,0,0,0,0,0,0.00149476831091181,0,0,0,0,0,0.00280683847920388,0.5,0,0,0,0,0,0.00361663652802893,0.00114171542742971,0,0,0,0,0,0,0,0,0.0232558139534884,0.00127298444130127,0,0.5,0,0,0,0.0014265335235378,0,0,0,0,0,0,0,0.00604838709677419
"FOXO4",0.14874682164911,0.000253036437246964,0.5,0,0.5,0.5,0,0.5,0.000253164556962025,0.5,0.5,0.5,0,0.163398692810458,0.5,0.0530592734225621,0.5,0.5,0,0,0,0,0,0,0.0171003717472119,0.10867802108678,0,0.5,0.5,0.236374496043004,0.5,0.270386978907158,0.0316622691292876,0.5,0.00252143217347453,0,0,0.0370116518163125,0,0.253704473064672,0.169634985011462,0.108392358875295,0.157044737330611,0,0.5,0.5,0.111662038873463,0.5,0,0,0.00275689223057644,0.5,0.0702972445215882,0.00671140939597315,0,0,0.5,0,0.5,0,0.5,0.5,0,0.000756620428751576,0.5,0.0820168794633196,0,0.252312599681021,0.5,0,0.5,0,0.5,0,0.0438330613196549,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0.290288529204785,0,0.140157185628743,0.0233676975945017,0,0.5,0.0569142857142857,0.5,0,0,0.0142100192678227,0,0.0226735947094946,0.000253100480890914,0.0329439252336449
"GLB1L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HES7",0.0528931487397941,0,0,0,0,0,0,0,0,0,0,0,0,0.0316205533596838,0.0238726790450928,0.0155189136760427,0,0,0,0,0,0,0,0,0.0136054421768707,0.0193330111164814,0,0.0433250110148333,0.0477350219191427,0.0443548387096774,0.0157938487115544,0.0387409200968523,0.0175572519083969,0.0257708237459733,0,0.0370116518163125,0,0,0,0.0445789763346175,0.0416799236398346,0.0290763968072976,0.0278969957081545,0,0.0444111776447106,0.0292636123770688,0.0237010027347311,0.00521609538002981,0,0,0.003125,0,0.0214146658014276,0.00436046511627907,0,0,0,0,0,0,0,0.0420772303595206,0,0,0,0.041243654822335,0,0.5,0.0510768057937869,0,0,0,0,0,0.0117647058823529,0.0469743022934512,0,0,0,0,0,0,0,0,0.00330578512396694,0.0452742442894269,0,0.0255063765941485,0.0202578268876611,0,0,0.00796812749003984,0.00856793145654835,0,0,0.00590318772136954,0,0.0083073727933541,0,0.5
"HK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
